Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,implied_base_sales,cost,capped_sales,capped_profit,profit_delta
Standard Class,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,128.058,3,0.3,-23.7822,182.94,151.84019999999998,146.352,-5.488199999999978,18.294000000000022
Standard Class,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,239.358,3,0.3,-47.8716,341.94000000000005,287.2296,273.5520000000001,-13.677599999999927,34.194000000000074
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,253.372,2,0.3,-14.4784,361.96000000000004,267.85040000000004,289.56800000000004,21.717600000000004,36.196000000000005
Same Day,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,520.464,2,0.3,-14.8704,743.5200000000001,535.3344000000001,594.8160000000001,59.48160000000007,74.35200000000007
Same Day,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Chairs,701.372,2,0.3,-50.098,1001.96,751.4699999999999,801.5680000000001,50.098000000000184,100.19600000000018
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,60.288,8,0.6,-27.1296,150.71999999999997,87.4176,120.57599999999998,33.158399999999986,60.28799999999998
Same Day,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,77.72,1,0.6,-66.062,194.29999999999998,143.78199999999998,155.44,11.658000000000015,77.72000000000001
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,83.952,3,0.6,-90.2484,209.88,174.2004,167.904,-6.2964000000000055,83.952
Second Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,242.176,4,0.6,-302.72,605.4399999999999,544.896,484.352,-60.54399999999998,242.17600000000004
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,66.645,3,0.5,-42.6528,133.29,109.2978,106.632,-2.66579999999999,39.98700000000001
Standard Class,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Tables,69.375,1,0.5,-47.175,138.75,116.55,111.0,-5.549999999999997,41.625
Second Class,Consumer,United States,Aurora,Illinois,60505,Central,Furniture,Tables,268.935,3,0.5,-209.7693,537.87,478.7043,430.29600000000005,-48.40829999999994,161.36100000000005
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,652.45,5,0.5,-430.617,1304.9,1083.067,1043.92,-39.146999999999935,391.4700000000001
First Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Tables,796.425,7,0.5,-525.6405,1592.85,1322.0655,1274.28,-47.785499999999956,477.855
Same Day,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Appliances,70.97,5,0.8,-191.619,354.8500000000001,262.589,283.88000000000005,21.291000000000054,212.91000000000005
Same Day,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Binders,2.308,2,0.8,-3.462,11.540000000000001,5.77,9.232000000000001,3.4620000000000015,6.924000000000001
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Binders,2.864,4,0.8,-4.5824,14.320000000000002,7.4464,11.456000000000003,4.009600000000003,8.592000000000002
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Binders,29.932,7,0.8,-46.3946,149.66000000000003,76.3266,119.72800000000002,43.401400000000024,89.79600000000002
Second Class,Corporate,United States,Aurora,Illinois,60505,Central,Office Supplies,Binders,94.192,7,0.8,-164.836,470.9600000000001,259.028,376.7680000000001,117.74000000000007,282.5760000000001
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Furnishings,41.552,2,0.6,-19.7372,103.88,61.2892,83.104,21.814799999999998,41.552
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Furniture,Tables,617.7,6,0.5,-407.682,1235.4,1025.382,988.3200000000002,-37.0619999999999,370.6200000000001
Standard Class,Consumer,United States,Bloomington,Illinois,61701,Central,Office Supplies,Binders,5.176,4,0.8,-7.764,25.880000000000006,12.940000000000001,20.704000000000008,7.7640000000000065,15.528000000000006
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Appliances,5.768,2,0.8,-13.5548,28.840000000000007,19.3228,23.072000000000006,3.7492000000000054,17.304000000000006
Standard Class,Home Office,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Binders,9.98,5,0.8,-16.467,49.90000000000001,26.447,39.920000000000016,13.473000000000017,29.940000000000015
Standard Class,Consumer,United States,Buffalo Grove,Illinois,60089,Central,Furniture,Tables,355.455,3,0.5,-184.8366,710.91,540.2916,568.728,28.436399999999935,213.27299999999994
Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Furniture,Chairs,382.116,6,0.3,-92.7996,545.88,474.9156,436.704,-38.211599999999976,54.58800000000002
Standard Class,Consumer,United States,Carol Stream,Illinois,60188,Central,Furniture,Chairs,408.422,2,0.3,-5.8346,583.46,414.25660000000005,466.76800000000003,52.51139999999998,58.34599999999998
Standard Class,Consumer,United States,Champaign,Illinois,61821,Central,Furniture,Furnishings,151.96,5,0.6,-182.352,379.9,334.312,303.92,-30.391999999999996,151.96
First Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,141.372,2,0.3,-14.1372,201.96000000000004,155.50920000000002,161.56800000000004,6.058800000000019,20.19600000000002
First Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,183.372,2,0.3,-36.6744,261.96000000000004,220.0464,209.56800000000004,-10.478399999999965,26.196000000000033
Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Furniture,Bookcases,198.744,4,0.3,0.0,283.92,198.744,227.13600000000002,28.392000000000024,28.392000000000024
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,359.058,3,0.3,-71.8116,512.94,430.8696,410.3520000000001,-20.517599999999902,51.294000000000096
First Class,Consumer,United States,Chicago,Illinois,60653,Central,Furniture,Bookcases,493.43,5,0.3,-70.49,704.9000000000001,563.92,563.9200000000001,1.1368683772161603e-13,70.49000000000011
First Class,Corporate,United States,Chicago,Illinois,60653,Central,Furniture,Bookcases,825.174,9,0.3,-117.882,1178.82,943.056,943.056,0.0,117.882
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,47.992,2,0.3,-2.0568,68.56,50.0488,54.848000000000006,4.799200000000006,6.856000000000006
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,62.958,3,0.3,-2.6982,89.94,65.6562,71.952,6.2958,8.994
